Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
,Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,759,Tomas Tatar\tatarto01,29,MTL,C,49,770,504,60.4,8.3,569,384,59.7,7.6,10.3,86.2,96.4,54.5,45.5,16:32,14:10,20,17,7.4,193,60.6
,760,John Tavares\tavarjo01,29,TOR,C,41,659,537,55.1,2.7,489,423,53.6,1.7,11.7,85.6,97.3,52.3,47.7,19:37,16:37,28,33,1.9,250,53.2
,761,Matt Tennyson\tennyma01,29,NJD,D,19,142,181,44.0,-4.9,112,137,45.0,-4.6,21.5,82.7,104.2,55.0,45.0,12:13,12:10,2,6,-0.8,24,50.0
,762,Teuvo Teravainen\teravte01,25,CAR,F,48,669,465,59.0,5.9,483,364,57.0,3.9,11.3,89.4,100.6,54.8,45.2,19:11,14:15,32,27,5.6,231,57.6
,763,Troy Terry\terrytr01,22,ANA,C/RW,33,301,311,49.2,0.3,230,238,49.1,0.6,6.4,89.3,95.7,60.2,39.8,14:11,11:59,23,14,-0.7,92,45.7
,764,Alexandre Texier\texieal01,20,CBJ,C,36,326,312,51.1,1.5,248,217,53.3,1.8,10.2,90.4,100.5,53.3,46.7,12:45,11:55,16,12,1.4,85,57.6
,765,Shea Theodore\theodsh01,24,VEG,D,50,842,622,57.5,5.6,633,481,56.8,4.5,9.2,89.9,99.1,58.9,41.1,21:49,18:24,39,37,12.0,298,46.0
,766,Robert Thomas\thomaro01,20,STL,C,43,373,371,50.1,-0.7,279,288,49.2,-0.9,13.0,92.4,105.3,56.1,43.9,13:59,12:36,27,19,4.6,85,63.5
,767,Nate Thompson\thompna01,35,MTL,C,49,409,444,47.9,-7.6,305,307,49.8,-5.0,6.8,89.4,96.2,39.9,60.1,12:58,10:41,16,21,-2.8,86,55.8
,768,Tage Thompson\thompta01,22,BUF,C,1,5,5,50.0,-3.0,3,3,50.0,1.0,0.0,100.0,100.0,66.7,33.3,6:59,6:59,1,0,-0.1,2,0.0
,769,Joe Thornton\thornjo01,40,SJS,C,49,497,445,52.8,3.9,354,330,51.8,3.7,8.2,85.8,94.0,49.4,50.6,14:50,12:33,39,23,-0.5,87,58.6
,770,Chris Tierney\tiernch01,25,OTT,C,47,461,542,46.0,-1.6,342,403,45.9,-2.6,13.6,87.8,101.4,43.6,56.4,16:36,13:16,24,26,-1.5,103,57.3
,771,Dmytro Timashov\timasdm01,23,TOR,LW,33,178,212,45.6,-7.8,131,155,45.8,-7.3,12.0,94.6,106.6,30.3,69.7,8:03,7:43,3,2,-1.8,47,55.3
,772,Conor Timmins\timmico01,21,COL,D,2,24,18,57.1,12.7,19,12,61.3,17.9,14.3,100.0,114.3,55.6,44.4,10:25,9:32,1,0,0.4,4,25.0
,773,Jarred Tinordi\tinorja01,27,NSH,D,7,65,70,48.1,-3.1,49,56,46.7,-5.0,8.1,88.1,96.2,40.4,59.6,14:12,13:04,0,4,-0.3,10,50.0
,774,Brady Tkachuk\tkachbr01,20,OTT,LW,47,621,621,50.0,3.8,470,467,50.2,3.1,9.3,86.7,96.0,52.5,47.5,18:22,15:14,21,30,4.5,274,61.3
,775,Matthew Tkachuk\tkachma01,22,CGY,LW,48,623,540,53.6,3.9,444,420,51.4,2.1,11.8,88.2,100.1,45.6,54.4,18:10,15:10,30,58,-1.7,214,58.9
,776,Devon Toews\toewsde01,25,NYI,D,46,607,622,49.4,3.9,439,453,49.2,3.0,9.5,91.4,100.9,54.7,45.3,19:55,17:21,25,43,3.3,163,52.1
,777,Jonathan Toews\toewsjo01,31,CHI,C,48,613,610,50.1,2.2,432,466,48.1,0.8,14.8,87.0,101.8,54.7,45.3,19:36,14:25,37,25,1.7,190,57.4
,778,Tyler Toffoli\toffoty01,27,LAK,C,48,599,468,56.1,3.2,442,351,55.7,2.6,8.7,87.9,96.7,54.0,46.0,16:22,13:04,25,25,3.8,218,55.5
,779,Dominic Toninato\tonindo01,25,FLA,C,28,220,279,44.1,-6.5,167,195,46.1,-4.2,12.1,93.7,105.8,29.1,70.9,10:51,10:10,9,10,-0.3,44,52.3
